ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-03-23,3237.9246386942095,798.3183290547038,5133.164566659269,3237.9246386942095,3237.9246386942095,-247.79637182073768,-247.79637182073768,-247.79637182073768,-247.79637182073768,-247.79637182073768,-247.79637182073768,0.0,0.0,0.0,2990.128266873472
2015-03-30,3243.5056040328745,479.161085380221,4813.557928304626,3243.5056040328745,3243.5056040328745,-538.5890797404022,-538.5890797404022,-538.5890797404022,-538.5890797404022,-538.5890797404022,-538.5890797404022,0.0,0.0,0.0,2704.9165242924723
2015-04-06,3249.086569371539,424.3125510503702,4668.961794609438,3249.086569371539,3249.086569371539,-757.6513651460673,-757.6513651460673,-757.6513651460673,-757.6513651460673,-757.6513651460673,-757.6513651460673,0.0,0.0,0.0,2491.435204225472
2015-04-13,3254.667534710204,443.18428950468865,4797.541042851344,3254.667534710204,3254.667534710204,-593.3445880450602,-593.3445880450602,-593.3445880450602,-593.3445880450602,-593.3445880450602,-593.3445880450602,0.0,0.0,0.0,2661.3229466651437
2015-04-20,3260.2485000488687,541.1059311118331,5044.060342376007,3260.2485000488687,3260.2485000488687,-350.90772951124245,-350.90772951124245,-350.90772951124245,-350.90772951124245,-350.90772951124245,-350.90772951124245,0.0,0.0,0.0,2909.340770537626
2015-04-27,3265.8294653875337,554.9560158719554,5013.256860738248,3265.8294653875337,3265.8294653875337,-567.2822671918289,-567.2822671918289,-567.2822671918289,-567.2822671918289,-567.2822671918289,-567.2822671918289,0.0,0.0,0.0,2698.547198195705
2015-05-04,3271.410430726198,-223.67532410177108,4208.254948419656,3271.410430726198,3271.410430726198,-1296.6461193513314,-1296.6461193513314,-1296.6461193513314,-1296.6461193513314,-1296.6461193513314,-1296.6461193513314,0.0,0.0,0.0,1974.7643113748663
2015-05-11,3276.9913960803124,-876.0677853633924,3419.8453798135556,3276.9913960803124,3276.9913960803124,-1913.4434620963282,-1913.4434620963282,-1913.4434620963282,-1913.4434620963282,-1913.4434620963282,-1913.4434620963282,0.0,0.0,0.0,1363.5479339839842
2015-05-18,3282.5723614344265,-597.4319607125891,3774.745724332737,3282.5723614344265,3282.5723614344265,-1721.42888861649,-1721.42888861649,-1721.42888861649,-1721.42888861649,-1721.42888861649,-1721.42888861649,0.0,0.0,0.0,1561.1434728179365
2015-05-25,3288.153326788541,537.8450841415604,4793.119556714196,3288.153326788541,3288.153326788541,-730.6842560675501,-730.6842560675501,-730.6842560675501,-730.6842560675501,-730.6842560675501,-730.6842560675501,0.0,0.0,0.0,2557.469070720991
2015-06-01,3293.7342921426557,1327.5440208901634,5809.128990738174,3293.7342921426557,3293.7342921426557,268.104574564343,268.104574564343,268.104574564343,268.104574564343,268.104574564343,268.104574564343,0.0,0.0,0.0,3561.8388667069985
2015-06-08,3299.31525749677,1630.7084403353942,6008.197198169866,3299.31525749677,3299.31525749677,451.48971480397574,451.48971480397574,451.48971480397574,451.48971480397574,451.48971480397574,451.48971480397574,0.0,0.0,0.0,3750.8049723007457
2015-06-15,3304.8962233639495,872.1179322864052,5177.656644704099,3304.8962233639495,3304.8962233639495,-246.34582449928462,-246.34582449928462,-246.34582449928462,-246.34582449928462,-246.34582449928462,-246.34582449928462,0.0,0.0,0.0,3058.550398864665
2015-06-22,3310.477189231129,35.33341415589779,4328.845784439653,3310.477189231129,3310.477189231129,-1118.062405765586,-1118.062405765586,-1118.062405765586,-1118.062405765586,-1118.062405765586,-1118.062405765586,0.0,0.0,0.0,2192.414783465543
2015-06-29,3316.058155098309,-296.515612310114,4113.791471162164,3316.058155098309,3316.058155098309,-1412.5703976849957,-1412.5703976849957,-1412.5703976849957,-1412.5703976849957,-1412.5703976849957,-1412.5703976849957,0.0,0.0,0.0,1903.4877574133131
2015-07-06,3321.6391209654885,122.38467503662257,4527.32872257464,3321.6391209654885,3321.6391209654885,-1014.6532418083867,-1014.6532418083867,-1014.6532418083867,-1014.6532418083867,-1014.6532418083867,-1014.6532418083867,0.0,0.0,0.0,2306.985879157102
2015-07-13,3327.2200868326677,700.0192010279542,4978.323671126047,3327.2200868326677,3327.2200868326677,-422.93606771247784,-422.93606771247784,-422.93606771247784,-422.93606771247784,-422.93606771247784,-422.93606771247784,0.0,0.0,0.0,2904.28401912019
2015-07-20,3332.801052689598,1104.793345772536,5517.758989148002,3332.801052689598,3332.801052689598,-181.36826987293503,-181.36826987293503,-181.36826987293503,-181.36826987293503,-181.36826987293503,-181.36826987293503,0.0,0.0,0.0,3151.432782816663
2015-07-27,3338.3820185465274,726.7203498899935,5263.7199539603325,3338.3820185465274,3338.3820185465274,-432.22354302432615,-432.22354302432615,-432.22354302432615,-432.22354302432615,-432.22354302432615,-432.22354302432615,0.0,0.0,0.0,2906.158475522201
2015-08-03,3343.962984403457,357.8191860616822,4611.929618131782,3343.962984403457,3343.962984403457,-961.1699714340085,-961.1699714340085,-961.1699714340085,-961.1699714340085,-961.1699714340085,-961.1699714340085,0.0,0.0,0.0,2382.7930129694487
2015-08-10,3349.5439502603867,-234.76487123432472,4064.9408979690775,3349.5439502603867,3349.5439502603867,-1476.3704604436518,-1476.3704604436518,-1476.3704604436518,-1476.3704604436518,-1476.3704604436518,-1476.3704604436518,0.0,0.0,0.0,1873.173489816735
2015-08-17,3355.1249161173164,-625.02303223109,3810.0071878653225,3355.1249161173164,3355.1249161173164,-1705.882796539897,-1705.882796539897,-1705.882796539897,-1705.882796539897,-1705.882796539897,-1705.882796539897,0.0,0.0,0.0,1649.2421195774193
2015-08-24,3360.7058822259655,-35.498124295715144,4261.849691572143,3360.7058822259655,3360.7058822259655,-1324.713866376391,-1324.713866376391,-1324.713866376391,-1324.713866376391,-1324.713866376391,-1324.713866376391,0.0,0.0,0.0,2035.9920158495745
2015-08-31,3366.286848334615,1335.5271371796127,5479.12358281427,3366.286848334615,3366.286848334615,-71.2731902488196,-71.2731902488196,-71.2731902488196,-71.2731902488196,-71.2731902488196,-71.2731902488196,0.0,0.0,0.0,3295.0136580857957
2015-09-07,3371.867814443264,3107.3168816681564,7477.883690269199,3371.867814443264,3371.867814443264,1851.0704506087043,1851.0704506087043,1851.0704506087043,1851.0704506087043,1851.0704506087043,1851.0704506087043,0.0,0.0,0.0,5222.938265051968
2015-09-14,3377.448780551913,4736.651272414318,9173.783742671925,3377.448780551913,3377.448780551913,3543.980775058508,3543.980775058508,3543.980775058508,3543.980775058508,3543.980775058508,3543.980775058508,0.0,0.0,0.0,6921.429555610421
2015-09-21,3383.029746660562,4949.6243132206,9393.702133032131,3383.029746660562,3383.029746660562,3861.1880974731803,3861.1880974731803,3861.1880974731803,3861.1880974731803,3861.1880974731803,3861.1880974731803,0.0,0.0,0.0,7244.217844133742
2015-09-28,3388.610712769211,3535.3413677595704,7912.706661873379,3388.610712769211,3388.610712769211,2358.3530058339184,2358.3530058339184,2358.3530058339184,2358.3530058339184,2358.3530058339184,2358.3530058339184,0.0,0.0,0.0,5746.96371860313
2015-10-05,3394.1916791185454,1178.5680323143747,5572.286644664755,3394.1916791185454,3394.1916791185454,-118.44951036557198,-118.44951036557198,-118.44951036557198,-118.44951036557198,-118.44951036557198,-118.44951036557198,0.0,0.0,0.0,3275.7421687529736
2015-10-12,3399.772645467879,-711.390713812539,3609.316391970658,3399.772645467879,3399.772645467879,-1906.2484956067037,-1906.2484956067037,-1906.2484956067037,-1906.2484956067037,-1906.2484956067037,-1906.2484956067037,0.0,0.0,0.0,1493.5241498611754
2015-10-19,3405.3536118172133,-614.5731922202027,3819.5698512634326,3405.3536118172133,3405.3536118172133,-1783.2183320938902,-1783.2183320938902,-1783.2183320938902,-1783.2183320938902,-1783.2183320938902,-1783.2183320938902,0.0,0.0,0.0,1622.135279723323
2015-10-26,3410.9345781665475,1393.5860057349264,5781.251750864881,3410.9345781665475,3410.9345781665475,76.96474431181974,76.96474431181974,76.96474431181974,76.96474431181974,76.96474431181974,76.96474431181974,0.0,0.0,0.0,3487.899322478367
2015-11-02,3416.515544515881,3511.554205122385,7674.151549676338,3416.515544515881,3416.515544515881,2315.1723493622358,2315.1723493622358,2315.1723493622358,2315.1723493622358,2315.1723493622358,2315.1723493622358,0.0,0.0,0.0,5731.687893878117
2015-11-09,3422.0965118197582,4617.71684491043,9088.819744267283,3422.0965118197582,3422.0965118197582,3553.6247383599175,3553.6247383599175,3553.6247383599175,3553.6247383599175,3553.6247383599175,3553.6247383599175,0.0,0.0,0.0,6975.721250179676
2015-11-16,3427.6774791236357,4668.220744274137,9131.140283903147,3427.6774791236357,3427.6774791236357,3459.1400221547556,3459.1400221547556,3459.1400221547556,3459.1400221547556,3459.1400221547556,3459.1400221547556,0.0,0.0,0.0,6886.817501278391
2015-11-23,3433.258446427513,4075.4790841079266,8533.000139337935,3433.258446427513,3433.258446427513,2809.331378421187,2809.331378421187,2809.331378421187,2809.331378421187,2809.331378421187,2809.331378421187,0.0,0.0,0.0,6242.589824848699
2015-11-30,3438.83941373139,3933.623982996266,8229.77946466725,3438.83941373139,3438.83941373139,2621.3805315681093,2621.3805315681093,2621.3805315681093,2621.3805315681093,2621.3805315681093,2621.3805315681093,0.0,0.0,0.0,6060.219945299499
2015-12-07,3444.4203810352674,4598.180053907452,8981.57714763192,3444.4203810352674,3444.4203810352674,3198.463860417379,3198.463860417379,3198.463860417379,3198.463860417379,3198.463860417379,3198.463860417379,0.0,0.0,0.0,6642.884241452646
2015-12-14,3450.001348653401,5182.1314157803445,9626.804282443887,3450.001348653401,3450.001348653401,3908.6015551298533,3908.6015551298533,3908.6015551298533,3908.6015551298533,3908.6015551298533,3908.6015551298533,0.0,0.0,0.0,7358.602903783254
2015-12-21,3455.5823162715346,4992.279199895165,9290.503068261893,3455.5823162715346,3455.5823162715346,3795.469949568331,3795.469949568331,3795.469949568331,3795.469949568331,3795.469949568331,3795.469949568331,0.0,0.0,0.0,7251.052265839866
2015-12-28,3461.163283889668,3807.8069041314407,8072.347304810514,3461.163283889668,3461.163283889668,2431.220397515471,2431.220397515471,2431.220397515471,2431.220397515471,2431.220397515471,2431.220397515471,0.0,0.0,0.0,5892.383681405139
2016-01-04,3466.744251507802,1429.7699412876107,5864.686536520172,3466.744251507802,3466.744251507802,297.97650347006174,297.97650347006174,297.97650347006174,297.97650347006174,297.97650347006174,297.97650347006174,0.0,0.0,0.0,3764.7207549778636
2016-01-11,3472.3252191259353,-464.6053900375304,4131.1202106630135,3472.3252191259353,3472.3252191259353,-1575.5934616165353,-1575.5934616165353,-1575.5934616165353,-1575.5934616165353,-1575.5934616165353,-1575.5934616165353,0.0,0.0,0.0,1896.7317575094
2016-01-18,3477.906186744069,-1058.1787365063171,3281.345972760659,3477.906186744069,3477.906186744069,-2398.1758951834768,-2398.1758951834768,-2398.1758951834768,-2398.1758951834768,-2398.1758951834768,-2398.1758951834768,0.0,0.0,0.0,1079.7302915605924
2016-01-25,3483.4871543249965,-955.8542133570935,3544.8141700428896,3483.4871543249965,3483.4871543249965,-2183.074656321556,-2183.074656321556,-2183.074656321556,-2183.074656321556,-2183.074656321556,-2183.074656321556,0.0,0.0,0.0,1300.4124980034403
2016-02-01,3489.0681219059247,-337.9167649861667,3915.6989689801826,3489.0681219059247,3489.0681219059247,-1646.1559469749425,-1646.1559469749425,-1646.1559469749425,-1646.1559469749425,-1646.1559469749425,-1646.1559469749425,0.0,0.0,0.0,1842.9121749309822
2016-02-08,3494.649089486852,-76.45428389193333,4022.1635669295006,3494.649089486852,3494.649089486852,-1532.357604306338,-1532.357604306338,-1532.357604306338,-1532.357604306338,-1532.357604306338,-1532.357604306338,0.0,0.0,0.0,1962.291485180514
2016-02-15,3500.2300570677794,-772.2066145499527,3616.3464325574882,3500.2300570677794,3500.2300570677794,-1963.1932503236342,-1963.1932503236342,-1963.1932503236342,-1963.1932503236342,-1963.1932503236342,-1963.1932503236342,0.0,0.0,0.0,1537.0368067441452
